"db","lgbm","svm","rf","dt","knn","xgb","xrf","svml","lr","ridge","passive","lda","qda","nb","gbm","mlp"
"analcatdata_creditscore",1,0.92,1,0.96,0.84,1,1,0.92,0.92,0.84,0.88,0.84,0.72,1,0.96,0.96
"analcatdata_creditscore",1,0.72,0.96,1,0.72,1,1,0.8,0.76,0.76,0.84,0.76,0.72,1,1,0.76
"analcatdata_dmft",0.195,0.19,0.17,0.145,0.19,0.195,0.19,0.21,0.21,0.21,0.22,0.2,0.155,0.215,0.235,0.185
"analcatdata_dmft",0.165829145728643,0.231155778894472,0.155778894472362,0.150753768844221,0.180904522613065,0.150753768844221,0.175879396984925,0.231155778894472,0.226130653266332,0.236180904522613,0.175879396984925,0.221105527638191,0.241206030150754,0.261306532663317,0.21608040201005,0.226130653266332
"analcatdata_dmft",0.21608040201005,0.241206030150754,0.201005025125628,0.231155778894472,0.226130653266332,0.180904522613065,0.246231155778894,0.236180904522613,0.241206030150754,0.241206030150754,0.14572864321608,0.246231155778894,0.226130653266332,0.21608040201005,0.221105527638191,0.246231155778894
"analcatdata_dmft",0.175879396984925,0.21608040201005,0.160804020100503,0.14070351758794,0.190954773869347,0.185929648241206,0.206030150753769,0.21608040201005,0.21608040201005,0.21608040201005,0.246231155778894,0.226130653266332,0.180904522613065,0.190954773869347,0.21608040201005,0.21105527638191
"analcatdata_germangss",0.38,0.22,0.23,0.31,0.19,0.3,0.35,0.39,0.39,0.33,0.37,0.29,0.3,0.29,0.35,0.26
"analcatdata_germangss",0.36,0.23,0.25,0.36,0.25,0.29,0.32,0.27,0.28,0.25,0.36,0.23,0.4,0.31,0.43,0.24
"analcatdata_germangss",0.41,0.22,0.3,0.38,0.23,0.4,0.39,0.35,0.31,0.27,0.37,0.27,0.37,0.39,0.45,0.26
"analcatdata_germangss",0.38,0.23,0.25,0.29,0.27,0.34,0.43,0.35,0.37,0.32,0.27,0.33,0.4,0.44,0.39,0.28
"analcatdata_lawsuit",0.984848484848485,0.984848484848485,0.984848484848485,0.984848484848485,0.96969696969697,0.984848484848485,0.96969696969697,0.984848484848485,0.96969696969697,0.924242424242424,1,0.96969696969697,0.984848484848485,0.984848484848485,0.984848484848485,0.954545454545455
"analcatdata_lawsuit",0.984848484848485,0.954545454545455,0.984848484848485,0.984848484848485,0.954545454545455,0.984848484848485,0.984848484848485,0.96969696969697,0.954545454545455,0.924242424242424,0.954545454545455,0.954545454545455,0.954545454545455,0.939393939393939,1,0.954545454545455
"analcatdata_lawsuit",0.984848484848485,0.939393939393939,0.984848484848485,0.984848484848485,0.954545454545455,0.984848484848485,0.984848484848485,0.954545454545455,0.954545454545455,0.924242424242424,0.939393939393939,0.954545454545455,0.96969696969697,0.939393939393939,0.984848484848485,0.954545454545455
"analcatdata_lawsuit",0.96969696969697,0.96969696969697,0.96969696969697,0.954545454545455,0.984848484848485,0.984848484848485,0.984848484848485,0.96969696969697,0.96969696969697,0.939393939393939,0.96969696969697,0.984848484848485,0.96969696969697,0.984848484848485,0.96969696969697,0.984848484848485
"appendicitis",0.851851851851852,0.851851851851852,0.851851851851852,0.814814814814815,0.851851851851852,0.851851851851852,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.851851851851852,0.888888888888889,0.851851851851852,0.851851851851852,0.851851851851852,0.888888888888889
"appendicitis",0.851851851851852,0.851851851851852,0.814814814814815,0.777777777777778,0.851851851851852,0.851851851851852,0.814814814814815,0.851851851851852,0.851851851851852,0.851851851851852,0.814814814814815,0.851851851851852,0.814814814814815,0.851851851851852,0.814814814814815,0.851851851851852
"appendicitis",0.884615384615385,0.923076923076923,0.923076923076923,0.730769230769231,0.884615384615385,0.884615384615385,0.846153846153846,0.923076923076923,0.923076923076923,0.923076923076923,0.769230769230769,0.923076923076923,0.846153846153846,0.884615384615385,0.923076923076923,0.884615384615385
"appendicitis",0.884615384615385,0.846153846153846,0.923076923076923,0.807692307692308,0.884615384615385,0.884615384615385,0.884615384615385,0.884615384615385,0.846153846153846,0.846153846153846,0.884615384615385,0.884615384615385,0.884615384615385,0.884615384615385,0.846153846153846,0.923076923076923
"australian",0.84971098265896,0.872832369942196,0.872832369942196,0.84971098265896,0.84971098265896,0.884393063583815,0.861271676300578,0.867052023121387,0.867052023121387,0.867052023121387,0.832369942196532,0.867052023121387,0.786127167630058,0.803468208092486,0.84971098265896,0.872832369942196
"australian",0.826589595375723,0.815028901734104,0.84971098265896,0.774566473988439,0.820809248554913,0.84971098265896,0.832369942196532,0.832369942196532,0.838150289017341,0.820809248554913,0.745664739884393,0.820809248554913,0.820809248554913,0.820809248554913,0.84971098265896,0.838150289017341
"australian",0.901162790697674,0.877906976744186,0.895348837209302,0.819767441860465,0.866279069767442,0.924418604651163,0.883720930232558,0.872093023255814,0.872093023255814,0.866279069767442,0.540697674418605,0.866279069767442,0.819767441860465,0.819767441860465,0.901162790697674,0.88953488372093
"australian",0.877906976744186,0.872093023255814,0.901162790697674,0.825581395348837,0.854651162790698,0.883720930232558,0.877906976744186,0.895348837209302,0.88953488372093,0.883720930232558,0.744186046511628,0.883720930232558,0.790697674418605,0.796511627906977,0.883720930232558,0.883720930232558
"auto",0.843137254901961,0.588235294117647,0.823529411764706,0.745098039215686,0.509803921568627,0.823529411764706,0.823529411764706,0.568627450980392,0.607843137254902,0.549019607843137,0.509803921568627,0.549019607843137,0.490196078431373,0.392156862745098,0.823529411764706,0.686274509803922
"auto",0.784313725490196,0.705882352941177,0.764705882352941,0.745098039215686,0.705882352941177,0.764705882352941,0.764705882352941,0.705882352941177,0.803921568627451,0.666666666666667,0.745098039215686,0.666666666666667,0.470588235294118,0.431372549019608,0.823529411764706,0.764705882352941
"auto",0.74,0.66,0.82,0.7,0.64,0.78,0.7,0.64,0.6,0.6,0.56,0.66,0.48,0.4,0.76,0.66
"auto",0.92,0.68,0.84,0.9,0.54,0.9,0.88,0.6,0.62,0.56,0.48,0.6,0.66,0.46,0.9,0.72
"backache",0.822222222222222,0.866666666666667,0.866666666666667,0.755555555555556,0.844444444444444,0.822222222222222,0.866666666666667,0.8,0.822222222222222,0.822222222222222,0.822222222222222,0.777777777777778,0.866666666666667,0.177777777777778,0.822222222222222,0.777777777777778
